"學年度","學校類型","學校代碼","學校名稱","縣市別","學生宿舍床位數(床)","自有宿舍床位數(床)","教職員宿舍單身床位(床)","教職員宿舍有眷戶數(戶)","可使用校地-校舍基地(平方公尺)","可使用校地-露天運動場地(平方公尺)","可使用校地-其他校地(平方公尺)","無法使用校地(平方公尺)"
112,國立大學,0001,國立政治大學,臺北市,5722,5655,63,100,89646,70032,914857,19192
112,國立大學,0002,國立清華大學,臺北市,0,0,0,0,1176,0,807,0
112,國立大學,0002,國立清華大學,新竹縣,0,0,0,0,0,0,0,101134
112,國立大學,0002,國立清華大學,新竹市,8438,8438,208,300,140033,48113,910415,0
112,國立大學,0003,國立臺灣大學,新北市,152,0,0,1,360,0,0,50538
112,國立大學,0003,國立臺灣大學,臺北市,8640,8640,72,637,471554,33529,855529,0
112,國立大學,0004,國立臺灣師範大學,新北市,0,0,18,19,25578,38552,264643,0
112,國立大學,0004,國立臺灣師範大學,臺北市,6470,6470,12,14,112097,55314,56271,0
112,國立大學,0005,國立成功大學,臺南市,6254,6254,107,125,238668,45345,1571735,0
112,國立大學,0006,國立中興大學,臺中市,5188,5188,106,131,100470,30909,400146,0
112,國立大學,0006,國立中興大學,南投縣,139,139,0,25,43511,0,162106,0
112,國立大學,0007,國立陽明交通大學,臺北市,2036,2036,29,122,43405,28740,167625,262193
112,國立大學,0007,國立陽明交通大學,桃園市,0,0,0,0,0,0,26824,0
112,國立大學,0007,國立陽明交通大學,臺南市,300,300,0,0,13221,550,163252,0
112,國立大學,0007,國立陽明交通大學,新竹縣,0,0,0,0,3504,0,21497,0
112,國立大學,0007,國立陽明交通大學,新竹市,8278,8278,159,125,108772,97928,563216,0
112,國立大學,0008,國立中央大學,臺北市,0,0,0,0,0,0,30,0
112,國立大學,0008,國立中央大學,桃園市,5895,5895,107,222,109159,22143,530566,0
112,國立大學,0008,國立中央大學,臺中市,0,0,0,0,0,0,5,0
112,國立大學,0008,國立中央大學,宜蘭縣,0,0,0,0,0,0,15,0
112,國立大學,0008,國立中央大學,南投縣,0,0,0,0,195,0,735,0
112,國立大學,0008,國立中央大學,嘉義縣,0,0,0,0,134,0,868,0
112,國立大學,0008,國立中央大學,屏東縣,0,0,0,0,0,0,15,0
112,國立大學,0008,國立中央大學,臺東縣,0,0,0,0,0,0,15,0
112,國立大學,0008,國立中央大學,基隆市,0,0,0,0,0,0,15,0
112,國立大學,0008,國立中央大學,嘉義市,0,0,0,0,0,0,15,0
112,國立大學,0009,國立中山大學,高雄市,4148,4148,57,91,64530,70000,154939,444628
112,國立大學,0012,國立臺灣海洋大學,基隆市,2885,2885,20,21,55798,15383,169258,86422
112,國立大學,0012,國立臺灣海洋大學,連江縣,88,88,15,0,1358,192,5504,0
112,國立大學,0013,國立中正大學,臺北市,0,0,0,0,33,0,0,0
112,國立大學,0013,國立中正大學,嘉義縣,3735,3735,116,221,121975,12738,1171134,0
112,國立大學,0013,國立中正大學,嘉義市,0,0,0,0,618,0,682,0
112,國立大學,0014,國立高雄師範大學,高雄市,3460,3460,24,6,63738,33837,544930,0
112,國立大學,0015,國立彰化師範大學,臺中市,0,0,0,6,288,0,229,0
112,國立大學,0015,國立彰化師範大學,彰化縣,3300,3300,70,54,51460,37037,427757,0
112,國立大學,0017,國立臺北大學,新北市,1527,1527,0,0,45712,23158,476445,0
112,國立大學,0017,國立臺北大學,臺北市,763,763,0,3,12898,4074,27246,0
112,國立大學,0018,國立嘉義大學,嘉義縣,1092,1092,28,0,25169,22067,1323351,0
112,國立大學,0018,國立嘉義大學,嘉義市,2562,2562,46,0,94697,58007,963383,448755
112,國立大學,0019,國立高雄大學,高雄市,1616,1616,16,46,67280,51356,706561,0
112,國立大學,0020,國立東華大學,臺北市,0,0,0,0,107,0,0,0
112,國立大學,0020,國立東華大學,花蓮縣,6232,6232,39,146,410308,77725,1981518,0
112,國立大學,0021,國立暨南國際大學,南投縣,2840,2840,129,69,61970,53400,1373000,0
112,國立大學,0022,國立臺灣科技大學,新北市,0,0,0,0,227,0,56466,0
112,國立大學,0022,國立臺灣科技大學,臺北市,4071,3960,0,70,33394,14261,50273,19388
112,國立大學,0022,國立臺灣科技大學,新竹縣,0,0,0,0,919,0,69487,0
112,國立大學,0022,國立臺灣科技大學,基隆市,0,0,0,0,0,0,99045,0
112,國立大學,0023,國立雲林科技大學,雲林縣,2682,2510,68,83,83629,51602,439792,0
112,國立大學,0024,國立屏東科技大學,屏東縣,3287,3207,12,0,147435,48219,2466891,2997831
112,國立大學,0024,國立屏東科技大學,臺東縣,36,0,0,0,181,0,0,5760441
112,國立大學,0025,國立臺北科技大學,新北市,200,0,0,0,0,0,51250,1480219
112,國立大學,0025,國立臺北科技大學,臺北市,1902,1581,0,0,31966,11744,52827,0
112,國立大學,0025,國立臺北科技大學,桃園市,0,0,0,0,0,0,24804,1767
112,國立大學,0025,國立臺北科技大學,基隆市,0,0,0,0,0,0,0,311839
112,國立大學,0028,國立臺北藝術大學,臺北市,1481,1481,0,0,43564,15136,212191,99964
112,國立大學,0029,國立臺灣藝術大學,新北市,822,822,0,0,23918,4805,54451,34880
112,國立大學,0030,國立臺東大學,臺東縣,2267,2267,31,7,68541,37100,547422,60239
112,國立大學,0031,國立宜蘭大學,宜蘭縣,1524,1524,63,1,43010,18515,670876,0
112,國立大學,0032,國立聯合大學,苗栗縣,3494,3494,132,0,46328,21766,697159,0
112,國立大學,0033,國立虎尾科技大學,雲林縣,2769,2769,93,0,57019,37290,278436,0
112,國立大學,0035,國立臺南藝術大學,臺南市,1316,1316,43,41,35337,10144,279976,250000
112,國立大學,0036,國立臺南大學,臺南市,1473,1473,0,12,29577,18515,69810,0
112,國立大學,0037,國立臺北教育大學,臺北市,1385,1385,0,13,22433,12666,42908,0
112,國立大學,0039,國立臺中教育大學,臺中市,1800,1800,0,4,29821,16083,54518,0
112,國立大學,0042,國立澎湖科技大學,澎湖縣,645,645,20,29,21787,16552,420056,0
112,國立大學,0043,國立勤益科技大學,臺中市,1795,1795,0,0,37708,30653,233371,26201
112,國立大學,0044,國立體育大學,桃園市,1216,1216,38,12,72979,92107,465428,11922
112,國立大學,0046,國立臺北護理健康大學,臺北市,1769,1765,3,27,24095,15399,43334,0
112,國立大學,0047,國立高雄餐旅大學,高雄市,1358,1358,0,0,18825,8578,122641,0
112,國立大學,0048,國立金門大學,金門縣,1167,1088,88,2,21870,7500,172799,0
112,國立大學,0049,國立臺灣體育運動大學,臺中市,750,750,5,2,31427,86711,24602,0
112,國立大學,0050,國立臺中科技大學,臺中市,1416,1416,5,2,22552,11928,112363,0
112,國立大學,0051,國立臺北商業大學,新北市,390,0,0,0,0,0,0,0
112,國立大學,0051,國立臺北商業大學,臺北市,0,0,0,0,7839,1488,10628,0
112,國立大學,0051,國立臺北商業大學,桃園市,592,580,0,0,7053,7874,58374,3924
112,國立大學,0052,國立屏東大學,屏東縣,4452,4452,21,1,57224,56568,310121,89423
112,國立大學,0053,國立高雄科技大學,高雄市,5507,5507,80,39,164560,96433,981282,921129
112,國立學院,0144,國立臺灣戲曲學院,臺北市,1101,315,0,0,15556,2271,31951,2152
112,國立專科,0221,國立臺南護理專科學校,臺南市,540,540,0,1,7252,726,22022,0
112,國立專科,0222,國立臺東專科學校,臺東縣,786,568,10,0,33498,92346,130244,0
112,私立大學,1001,東海大學,臺中市,5072,5072,68,409,110260,72377,1156449,0
112,私立大學,1002,輔仁大學,新北市,4654,4654,24,0,76393,45120,226848,0
112,私立大學,1003,東吳大學,臺北市,2121,1104,15,46,24654,16155,73615,43730
112,私立大學,1004,中原大學,桃園市,4955,4955,36,30,60845,48322,238493,0
112,私立大學,1005,淡江大學,新北市,3203,2222,29,6,35072,25809,156245,0
112,私立大學,1005,淡江大學,臺北市,0,0,0,2,3249,0,0,0
112,私立大學,1005,淡江大學,宜蘭縣,825,825,48,5,10402,19392,374759,0
112,私立大學,1006,中國文化大學,新北市,0,0,0,0,0,0,918310,0
112,私立大學,1006,中國文化大學,臺北市,4248,4248,67,56,112595,4376,116001,0
112,私立大學,1007,逢甲大學,臺中市,3353,3353,0,1,47849,35496,178384,0
112,私立大學,1008,靜宜大學,臺中市,1665,1269,43,1,43548,50000,209795,0
112,私立大學,1009,長庚大學,桃園市,6154,6154,248,0,61751,42229,267329,0
112,私立大學,1010,元智大學,新北市,0,0,0,0,0,0,25194,0
112,私立大學,1010,元智大學,桃園市,2866,2866,30,61,37797,24110,122332,0
112,私立大學,1011,中華大學,新竹市,2474,2474,0,0,28774,40800,119966,0
112,私立大學,1012,大葉大學,彰化縣,2530,2530,16,0,29705,27334,285060,0
112,私立大學,1013,華梵大學,新北市,1026,1026,14,0,126506,10525,163265,6464
112,私立大學,1014,義守大學,高雄市,6796,3773,72,28,57928,42081,189063,0
112,私立大學,1015,世新大學,新北市,565,409,0,2,4235,0,196499,0
112,私立大學,1015,世新大學,臺北市,485,430,0,11,14426,8948,54252,0
112,私立大學,1016,銘傳大學,新北市,942,0,0,0,0,0,0,0
112,私立大學,1016,銘傳大學,臺北市,828,828,0,0,14083,8262,19970,0
112,私立大學,1016,銘傳大學,桃園市,2523,1550,13,0,19036,15062,154366,0
112,私立大學,1016,銘傳大學,金門縣,123,123,32,0,3843,0,146157,150000
112,私立大學,1017,實踐大學,新北市,0,0,0,0,0,0,0,340171
112,私立大學,1017,實踐大學,臺北市,1099,965,0,0,16064,2000,28952,8667
112,私立大學,1017,實踐大學,高雄市,1831,1831,0,12,18146,30913,378584,0
112,私立大學,1018,朝陽科技大學,臺中市,2943,736,0,0,160230,23854,479103,0
112,私立大學,1019,高雄醫學大學,高雄市,1177,1070,0,0,34239,17699,55356,0
112,私立大學,1019,高雄醫學大學,屏東縣,0,0,0,0,0,0,17711,0
112,私立大學,1020,南華大學,嘉義縣,3365,2823,310,10,34011,55597,542207,0
112,私立大學,1021,真理大學,新北市,1078,1078,3,0,18277,36913,36276,0
112,私立大學,1021,真理大學,臺南市,0,0,42,4,19262,17643,183288,0
112,私立大學,1021,真理大學,高雄市,0,0,0,0,37,0,0,0
112,私立大學,1022,大同大學,臺北市,962,962,0,0,8254,14240,35919,0
112,私立大學,1023,南臺科技大學,臺南市,3736,3736,0,0,46250,21830,96518,0
112,私立大學,1024,崑山科技大學,臺南市,2079,2079,12,0,31905,47686,83210,1058
112,私立大學,1025,嘉南藥理大學,臺南市,4992,4992,0,0,55549,32190,158107,0
112,私立大學,1026,樹德科技大學,高雄市,3122,3118,44,0,30801,34320,309422,3172
112,私立大學,1027,慈濟大學,花蓮縣,3346,3346,44,62,86708,60258,319647,0
112,私立大學,1028,臺北醫學大學,新北市,102,102,0,0,13021,0,0,0
112,私立大學,1028,臺北醫學大學,臺北市,917,840,0,0,26666,12381,32475,2290
112,私立大學,1029,中山醫學大學,臺中市,1575,1575,18,0,28607,21678,37977,37
112,私立大學,1029,中山醫學大學,苗栗縣,0,0,0,0,0,0,0,418028
112,私立大學,1030,龍華科技大學,桃園市,1601,1431,0,0,18372,4145,48338,0
112,私立大學,1031,輔英科技大學,高雄市,2502,2502,21,7,29329,42759,98823,1917
112,私立大學,1032,明新科技大學,新竹縣,2171,2133,103,0,42195,45270,145342,0
112,私立大學,1033,長榮大學,臺南市,2059,2059,70,0,32057,37046,204612,0
112,私立大學,1034,弘光科技大學,臺中市,1018,1018,0,0,22573,18942,57704,0
112,私立大學,1035,中國醫藥大學,臺中市,622,622,0,0,16857,4971,168251,0
112,私立大學,1035,中國醫藥大學,雲林縣,676,676,0,0,3043,2160,13520,0
112,私立大學,1036,健行科技大學,桃園市,1520,1490,3,0,17431,7180,24136,0
112,私立大學,1037,正修科技大學,高雄市,1619,955,0,0,47068,10481,39941,0
112,私立大學,1038,萬能科技大學,桃園市,2221,1900,0,0,16285,21300,29695,23480
112,私立大學,1039,玄奘大學,新竹市,1254,1254,31,0,20409,17970,126942,0
112,私立大學,1040,建國科技大學,彰化縣,554,554,0,0,18276,14608,63466,0
112,私立大學,1041,明志科技大學,新北市,2819,2819,66,141,22479,38210,559206,0
112,私立大學,1042,高苑科技大學,高雄市,1542,1542,0,0,27610,28338,53969,0
112,私立大學,1043,大仁科技大學,屏東縣,1302,1302,0,0,23927,31997,105539,0
112,私立大學,1044,聖約翰科技大學,新北市,1148,1148,0,1,21779,23341,67273,0
112,私立大學,1045,嶺東科技大學,臺中市,1372,1372,0,0,19935,38719,153363,0
112,私立大學,1046,中國科技大學,臺北市,58,58,0,0,10571,8674,34894,0
112,私立大學,1046,中國科技大學,新竹縣,1274,1274,51,0,11590,17162,112877,0
112,私立大學,1047,中臺科技大學,臺中市,1088,1088,15,10,18695,10072,69144,0
112,私立大學,1048,亞洲大學,臺中市,4347,4347,12,0,31904,18669,216495,0
112,私立大學,1049,開南大學,桃園市,1362,1362,0,0,29898,85054,17429,20000
112,私立大學,1050,佛光大學,宜蘭縣,1963,1026,79,93,25792,10400,218879,323177
112,私立大學,1051,台南應用科技大學,臺南市,1511,1206,19,2,33613,31621,79131,0
112,私立大學,1052,遠東科技大學,臺南市,2017,2017,0,0,26064,16620,77952,0
112,私立大學,1053,元培醫事科技大學,新竹市,821,559,0,0,44606,14219,22503,44696
112,私立大學,1054,景文科技大學,新北市,1150,1150,0,0,14494,25243,76832,0
112,私立大學,1055,中華醫事科技大學,臺南市,2287,2248,0,0,20967,11325,65203,0
112,私立大學,1056,東南科技大學,新北市,1082,1082,5,0,14535,10446,89831,0
112,私立大學,1057,德明財經科技大學,臺北市,577,577,2,0,37840,11855,11137,0
112,私立大學,1058,明道大學,彰化縣,816,816,6,18,22757,59316,329205,0
112,私立大學,1060,南開科技大學,南投縣,828,828,0,0,15162,13055,63813,0
112,私立大學,1061,中華科技大學,臺北市,442,442,0,0,21529,5600,27018,0
112,私立大學,1061,中華科技大學,新竹縣,355,315,10,0,16066,4423,1000,66281
112,私立大學,1061,中華科技大學,雲林縣,115,0,6,0,2935,3124,284516,5453
112,私立大學,1062,僑光科技大學,臺中市,864,864,0,0,14966,7959,34337,0
112,私立大學,1063,育達科技大學,新北市,0,0,0,0,0,0,0,79034
112,私立大學,1063,育達科技大學,苗栗縣,1148,1148,61,19,117573,45549,21428,50596
112,私立大學,1064,美和科技大學,屏東縣,892,892,0,0,15248,4951,30375,0
112,私立大學,1065,吳鳳科技大學,嘉義縣,1288,1288,4,1,25889,28320,78647,0
112,私立大學,1066,環球科技大學,雲林縣,1028,561,8,16,25393,34351,238719,0
112,私立大學,1069,修平科技大學,臺中市,1038,1038,0,0,17433,12372,57322,0
112,私立大學,1070,長庚科技大學,桃園市,5080,5080,124,0,30826,20886,87334,0
112,私立大學,1070,長庚科技大學,嘉義縣,2020,2020,0,0,21863,12415,121938,0
112,私立大學,1071,臺北城市科技大學,臺北市,1660,1600,0,0,27035,9689,50260,0
112,私立大學,1072,敏實科技大學,新竹縣,1167,584,0,0,18451,7113,65405,39557
112,私立大學,1073,醒吾科技大學,新北市,1389,991,0,0,15195,8439,32128,0
112,私立大學,1075,文藻外語大學,新北市,0,0,0,0,0,0,80,0
112,私立大學,1075,文藻外語大學,臺北市,0,0,0,0,139,0,0,0
112,私立大學,1075,文藻外語大學,高雄市,868,868,34,4,16201,28240,12435,0
112,私立大學,1076,華夏科技大學,新北市,196,0,4,1,10634,1457,47555,0
112,私立大學,1077,慈濟科技大學,花蓮縣,2409,2409,45,10,17659,16992,175398,0
112,私立大學,1078,致理科技大學,新北市,658,594,0,0,9785,30266,20206,0
112,私立大學,1079,康寧大學,臺北市,792,792,0,0,7448,2979,39773,23401
112,私立大學,1079,康寧大學,臺南市,1958,1958,116,0,13562,52162,125963,0
112,私立大學,1080,宏國德霖科技大學,新北市,430,430,0,0,21040,12600,87353,36
112,私立大學,1081,東方設計大學,高雄市,595,595,0,0,15342,22582,48887,0
112,私立大學,1082,崇右影藝科技大學,新北市,0,0,0,0,0,0,786,260814
112,私立大學,1082,崇右影藝科技大學,基隆市,432,171,0,0,37095,12100,849,0
112,私立大學,1083,台北海洋科技大學,新北市,788,788,0,0,10483,1296,29292,0
112,私立大學,1083,台北海洋科技大學,臺北市,415,415,0,0,8775,6608,18881,0
112,私立大學,1084,亞東科技大學,新北市,262,245,4,3,9956,6409,43918,5638
112,私立學院,1125,中信金融管理學院,臺南市,703,703,49,0,13624,75000,166307,10326
112,私立學院,1148,大漢技術學院,花蓮縣,1427,1427,12,0,20644,73443,94965,0
112,私立學院,1168,南亞技術學院,桃園市,553,545,0,0,13510,14120,22678,0
112,私立學院,1183,黎明技術學院,新北市,954,795,0,0,50525,11192,13512,0
112,私立學院,1185,德育護理健康學院,基隆市,789,789,0,0,8712,12000,95178,5785
112,私立學院,1188,大同技術學院,嘉義縣,433,0,0,0,4787,47401,45991,0
112,私立學院,1188,大同技術學院,嘉義市,396,396,16,0,7432,1980,14897,0
112,私立學院,1195,馬偕醫學院,新北市,688,688,9,3,14425,11726,165189,0
112,私立學院,1196,法鼓文理學院,新北市,540,540,150,9,55434,21956,143456,79288
112,私立學院,1196,法鼓文理學院,臺北市,0,0,0,0,535,0,0,0
112,私立專科,1282,馬偕醫護管理專科學校,新北市,1580,1580,2,2,5200,4349,76112,37125
112,私立專科,1282,馬偕醫護管理專科學校,臺北市,320,320,0,0,2515,814,11215,3
112,私立專科,1283,仁德醫護管理專科學校,苗栗縣,2317,2317,0,0,18603,6146,36037,0
112,私立專科,1284,樹人醫護管理專科學校,高雄市,1836,1830,0,0,19088,22834,106662,0
112,私立專科,1285,慈惠醫護管理專科學校,屏東縣,976,437,6,0,11670,35881,148324,0
112,私立專科,1286,耕莘健康管理專科學校,新北市,906,906,7,0,4908,3211,11756,0
112,私立專科,1286,耕莘健康管理專科學校,宜蘭縣,1712,1712,19,0,12778,17645,64195,0
112,私立專科,1286,耕莘健康管理專科學校,基隆市,0,0,0,0,0,0,53630,0
112,私立專科,1287,敏惠醫護管理專科學校,臺南市,1088,1088,8,0,29661,3327,77359,12589
112,私立專科,1289,育英醫護管理專科學校,高雄市,240,236,0,0,4523,6359,63609,0
112,私立專科,1291,聖母醫護管理專科學校,宜蘭縣,1072,1072,25,0,9313,3241,29179,0
112,私立專科,1292,新生醫護管理專科學校,桃園市,1288,1288,0,0,16969,7780,84629,0
112,私立專科,1293,崇仁醫護管理專科學校,嘉義縣,720,720,0,0,5868,5720,86412,0
112,私立專科,1293,崇仁醫護管理專科學校,嘉義市,297,297,0,0,3022,4712,15481,0
112,私立宗教研修,1R02,基督教台灣浸會神學院,臺北市,64,64,0,8,13442,0,10658,0
112,私立宗教研修,1R03,臺北基督學院,新北市,208,208,14,11,7054,3925,26524,0
112,私立宗教研修,1R04,一貫道天皇學院,高雄市,0,0,0,0,10525,0,17185,14201
112,私立宗教研修,1R05,台灣神學研究學院,臺北市,213,213,9,44,5460,608,59123,0
112,私立宗教研修,1R06,一貫道崇德學院,南投縣,0,0,0,0,4100,0,15000,1441
112,私立宗教研修,1R07,台灣基督長老教會南神神學院,臺南市,90,0,10,11,28149,0,0,0
112,私立宗教研修,1R08,中華福音神學研究學院,桃園市,220,220,0,35,4830,1646,16261,404
112,私立宗教研修,1R09,唯心聖教學院,南投縣,0,0,0,0,2310,869,25563,0
112,市立大學,3002,臺北市立大學,臺北市,1786,1690,7,2,34182,1223472,61678,0
